"sector_id","date","level_detail_numeric","altitude","aspect","aspectActive"
4124,2023-01-26,2.33,2200,0,1
7112,2023-01-20,2.67,2200,0,1
2212,2022-12-15,2.33,2000,0,1
5231,2023-01-24,2.67,2400,0,1
5234,2023-04-23,3,NA,0,1
1228,2023-01-17,3,1800,0,1
1244,2022-12-15,2.33,2000,0,1
4231,2023-01-17,2.67,2200,0,1
1225,2023-01-09,3.33,2000,0,1
3114,2022-12-15,2.33,2000,0,1
5232,2023-01-16,2.67,2200,0,1
2224,2022-12-13,2.67,2200,0,1
4241,2022-12-23,3.33,2200,0,1
3223,2022-12-15,2.33,2000,0,1
4224,2023-04-02,3.33,2200,0,1
4122,2023-01-16,2.67,2200,0,1
4213,2022-12-26,2.67,2400,0,1
4223,2023-01-10,3,2000,0,1
4122,2023-04-02,3.33,2200,0,1
3113,2022-12-14,2.33,1800,0,1
1213,2023-03-31,2.67,NA,0,1
3111,2022-12-15,2.33,2000,0,1
2223,2022-12-13,2.67,2200,0,1
1312,2023-01-16,3,2000,0,1
1242,2022-12-30,2,2000,0,1
6111,2023-01-14,2.67,2400,0,1
1243,2022-12-15,2.33,2000,0,1
4122,2023-01-14,2.67,2200,0,1
4121,2023-01-17,3.33,1800,0,1
7211,2023-01-11,2.67,2200,0,1
4123,2023-01-17,2.67,2200,0,1
4214,2022-12-26,2.67,2400,0,1
2221,2022-12-10,2.33,1800,0,1
5112,2023-01-16,2.67,2200,0,1
1245,2022-12-15,2.33,2000,0,1
1227,2023-01-10,3.33,2000,0,1
5113,2023-01-16,2.67,2200,0,1
4113,2022-12-12,2.67,2000,0,1
5124,2022-12-12,2,2200,0,1
4242,2023-05-01,3.33,NA,0,1
1223,2022-12-23,4,2200,0,1
4225,2022-12-12,2,2200,0,1
3311,2023-01-21,2.33,1800,0,1
3114,2022-12-26,2,2200,0,1
4112,2023-01-10,3.67,2200,0,1
3311,2022-12-25,3,2200,0,1
1242,2022-12-23,3.33,2200,0,1
4114,2022-12-26,2.67,2400,0,1
1111,2022-12-12,2.33,1800,0,1
4243,2023-04-16,3.33,2000,0,1
2111,2022-12-10,2.33,1800,0,1
4222,2023-01-16,2.67,2200,0,1
6122,2023-05-20,2.33,NA,0,1
1247,2023-02-01,2,2200,0,1
6212,2023-05-20,2.33,NA,0,1
5231,2023-01-19,2.67,2200,0,1
7114,2023-02-01,2.33,2200,0,1
1312,2022-12-23,4,2200,0,1
2122,2022-12-23,3.33,2200,0,1
4224,2023-01-10,3,2000,0,1
4223,2023-01-11,3,2000,0,1
4112,2023-01-14,2.67,2200,0,1
1231,2023-01-17,3,1800,0,1
